Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::文化遗产与博物馆研究,L2::博物馆,Undirected,培养项目-二级学科,12,overall,文化遗产与博物馆研究,,博物馆
P::新一代信息通信技术,L2::光电信息工程,Undirected,培养项目-二级学科,2,overall,新一代信息通信技术,,光电信息工程
P::新一代信息通信技术,L2::控制工程,Undirected,培养项目-二级学科,1,overall,新一代信息通信技术,,控制工程
P::新一代信息通信技术,L2::新一代电子信息技术（含量子技术等）,Undirected,培养项目-二级学科,11,overall,新一代信息通信技术,,新一代电子信息技术（含量子技术等）
P::新一代光电融合成像技术与系统,L2::新一代电子信息技术（含量子技术等）,Undirected,培养项目-二级学科,4,overall,新一代光电融合成像技术与系统,,新一代电子信息技术（含量子技术等）
P::新一代光电融合成像技术与系统,L2::电子信息（信电学院）,Undirected,培养项目-二级学科,112,overall,新一代光电融合成像技术与系统,,电子信息（信电学院）
P::新一代核心功能器件及其应用,L2::机械（国际联合学院）,Undirected,培养项目-二级学科,12,overall,新一代核心功能器件及其应用,,机械（国际联合学院）
P::新一代核心功能器件及其应用,L2::电气工程,Undirected,培养项目-二级学科,28,overall,新一代核心功能器件及其应用,,电气工程
P::新一代核心功能器件及其应用,L2::能源动力（国际联合学院）,Undirected,培养项目-二级学科,19,overall,新一代核心功能器件及其应用,,能源动力（国际联合学院）
P::新型城镇化规划设计与建设,L2::城乡规划,Undirected,培养项目-二级学科,63,overall,新型城镇化规划设计与建设,,城乡规划
P::新型计算架构与智能系统,L2::人工智能,Undirected,培养项目-二级学科,24,overall,新型计算架构与智能系统,,人工智能
P::新型计算架构与智能系统,L2::计算机技术,Undirected,培养项目-二级学科,97,overall,新型计算架构与智能系统,,计算机技术
P::新型软件架构与系统,L2::人工智能,Undirected,培养项目-二级学科,4,overall,新型软件架构与系统,,人工智能
P::新型软件架构与系统,L2::电子信息（软件学院）,Undirected,培养项目-二级学科,3,overall,新型软件架构与系统,,电子信息（软件学院）
P::新型软件架构与系统,L2::软件工程,Undirected,培养项目-二级学科,21,overall,新型软件架构与系统,,软件工程
P::新材料,L2::人工智能,Undirected,培养项目-二级学科,2,overall,新材料,,人工智能
P::新材料,L2::动力工程,Undirected,培养项目-二级学科,1,overall,新材料,,动力工程
P::新材料,L2::化学工程,Undirected,培养项目-二级学科,11,overall,新材料,,化学工程
P::新材料,L2::土木工程,Undirected,培养项目-二级学科,3,overall,新材料,,土木工程
P::新材料,L2::新一代电子信息技术（含量子技术等）,Undirected,培养项目-二级学科,1,overall,新材料,,新一代电子信息技术（含量子技术等）
P::新材料,L2::机械工程,Undirected,培养项目-二级学科,2,overall,新材料,,机械工程
P::新材料,L2::材料工程,Undirected,培养项目-二级学科,12,overall,新材料,,材料工程
P::新能源材料与器件,L2::材料与化工（材料学院）,Undirected,培养项目-二级学科,57,overall,新能源材料与器件,,材料与化工（材料学院）
P::新能源汽车高功率密度SiC驱动电机系统,L2::电气工程,Undirected,培养项目-二级学科,5,overall,新能源汽车高功率密度SiC驱动电机系统,,电气工程
P::新能源电力系统及其智能化,L2::电气工程,Undirected,培养项目-二级学科,53,overall,新能源电力系统及其智能化,,电气工程
P::新能源电能变换装备和系统,L2::电气工程,Undirected,培养项目-二级学科,50,overall,新能源电能变换装备和系统,,电气工程
P::新药创制,L2::药学,Undirected,培养项目-二级学科,56,overall,新药创制,,药学
P::新药创制工程,L2::制药工程,Undirected,培养项目-二级学科,38,overall,新药创制工程,,制药工程
P::新药创制工程,L2::生物医学工程,Undirected,培养项目-二级学科,2,overall,新药创制工程,,生物医学工程
P::智慧与生态畜牧业,L2::畜牧,Undirected,培养项目-二级学科,46,overall,智慧与生态畜牧业,,畜牧
P::智慧交通,L2::交通运输,Undirected,培养项目-二级学科,21,overall,智慧交通,,交通运输
P::智慧光学,L2::光电信息工程,Undirected,培养项目-二级学科,1,overall,智慧光学,,光电信息工程
P::智慧光学,L2::电子信息（光电学院）,Undirected,培养项目-二级学科,45,overall,智慧光学,,电子信息（光电学院）
